,Instance,Clear,Start Time,End Time,Duration,Deaths
163,1,False,2022-01-15 17:43:20,2022-01-15 17:50:17,0:06:57,11
164,1,False,2022-01-15 17:56:32,2022-01-15 18:01:12,0:04:40,11
165,1,False,2022-01-15 18:05:59,2022-01-15 18:12:33,0:06:34,19
166,1,False,2022-01-15 18:13:16,2022-01-15 18:18:07,0:04:51,11
167,1,False,2022-01-15 18:18:53,2022-01-15 18:24:50,0:05:57,12
168,1,False,2022-01-15 18:27:06,2022-01-15 18:34:43,0:07:37,16
169,1,False,2022-01-15 18:40:22,2022-01-15 18:45:54,0:05:32,15
170,1,False,2022-01-15 18:47:14,2022-01-15 18:52:59,0:05:45,8
171,1,False,2022-01-15 18:53:52,2022-01-15 19:00:38,0:06:46,16
172,1,False,2022-01-15 19:02:42,2022-01-15 19:11:32,0:08:50,14
173,1,False,2022-01-15 19:14:47,2022-01-15 19:15:04,0:00:17,8
174,1,False,2022-01-15 19:20:09,2022-01-15 19:26:54,0:06:45,10
175,1,False,2022-01-15 19:27:28,2022-01-15 19:36:21,0:08:53,18
176,1,False,2022-01-15 19:37:29,2022-01-15 19:43:32,0:06:03,17
177,1,False,2022-01-15 19:44:29,2022-01-15 19:54:21,0:09:52,12
178,1,False,2022-01-15 19:55:29,2022-01-15 20:04:21,0:08:52,19
179,1,False,2022-01-15 21:31:03,2022-01-15 21:40:12,0:09:09,11
180,1,False,2022-01-15 21:41:59,2022-01-15 21:51:32,0:09:33,10
181,1,False,2022-01-15 21:56:39,2022-01-15 22:02:21,0:05:42,11
182,1,False,2022-01-15 22:03:02,2022-01-15 22:12:13,0:09:11,9
183,1,False,2022-01-15 22:17:50,2022-01-15 22:27:33,0:09:43,12
184,1,False,2022-01-15 22:28:10,2022-01-15 22:38:41,0:10:31,11
185,1,False,2022-01-15 22:39:54,2022-01-15 22:50:04,0:10:10,13
186,1,False,2022-01-15 22:50:40,2022-01-15 22:59:32,0:08:52,8
187,1,False,2022-01-15 23:00:15,2022-01-15 23:10:08,0:09:53,15
188,1,False,2022-01-15 23:11:10,2022-01-15 23:21:41,0:10:31,8
189,1,False,2022-01-15 23:23:06,2022-01-15 23:28:56,0:05:50,10
190,1,False,2022-01-15 23:29:56,2022-01-15 23:39:14,0:09:18,9
191,1,False,2022-01-16 17:25:17,2022-01-16 17:28:28,0:03:11,11
192,1,False,2022-01-16 17:28:54,2022-01-16 17:31:04,0:02:10,9
193,1,False,2022-01-16 17:31:29,2022-01-16 17:36:14,0:04:45,8
194,1,False,2022-01-16 17:36:41,2022-01-16 17:46:36,0:09:55,14
195,1,False,2022-01-16 17:47:13,2022-01-16 17:53:02,0:05:49,11
